model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,source_params
"[512, 640, 768]",8,3,1024,0.1,gelu,prenorm,learned,mean,False,4e-05,1e-06,64,AdamW,0.0,L2,transformer_results_v4_mean.csv
"[640, 640, 640]",8,3,1024,0.1,silu,prenorm,learned,mean,False,5e-05,1e-06,64,AdamW,0.0,L2,transformer_results_v4_mean.csv
"[768, 768]",16,2,1536,0.1,gelu,prenorm,learned,max,False,2e-05,1e-06,32,AdamW,0.0,minmax,transformer_results_v4_mean.csv
"[512, 768]",8,2,1024,0.1,silu,prenorm,learned,cls,True,3e-05,1e-05,40,AdamW,0.0,L2,transformer_results_v4_mean.csv
"[512, 512, 512, 512]",8,4,2048,0.15,gelu,prenorm,learned,mean,False,2e-05,1e-06,32,AdamW,0.0,L2,transformer_results_v4_mean.csv
[128],2,1,256,0.2,relu,postnorm,sinusoidal,mean,False,3e-04,0.0,128,Adam,0.0,minmax,transformer_results_v4_mean.csv
"[256, 256]",4,2,512,0.0,silu,prenorm,learned,max,False,1e-04,0.0,96,AdamW,0.0,L2,transformer_results_v4_mean.csv
"[192, 384, 384]",6,3,768,0.25,mish,postnorm,learned,mean,False,7e-05,1e-06,64,AdamW,0.0,minmax,transformer_results_v4_mean.csv
[320],5,1,640,0.1,elu,prenorm,sinusoidal,cls,True,9e-05,1e-06,96,AdamW,0.0,L2,transformer_results_v4_mean.csv
"[320, 640]",5,2,1280,0.2,gelu,postnorm,learned,max,False,5e-05,1e-06,48,Adam,0.0,L2,transformer_results_v4_mean.csv
[384],12,1,768,0.15,leakyrelu,prenorm,learned,mean,False,8e-05,1e-06,80,Adam,0.0,minmax,transformer_results_v4_mean.csv
"[384, 768]",12,2,1536,0.05,gelu,prenorm,sinusoidal,max,False,3e-05,1e-06,48,AdamW,0.0,L2,transformer_results_v4_mean.csv
"[768, 384]",24,2,768,0.2,hardswish,postnorm,learned,mean,False,4e-05,1e-06,40,AdamW,0.0,minmax,transformer_results_v4_mean.csv
[512],16,1,2048,0.1,silu,prenorm,learned,cls,True,7e-05,1e-06,64,AdamW,0.0,L2,transformer_results_v4_mean.csv
[640],8,1,512,0.3,relu,postnorm,sinusoidal,max,False,1e-04,1e-06,64,RMSprop,0.0,L2,transformer_results_v4_mean.csv
"[256, 512, 512]",8,3,1024,0.3,relu,prenorm,learned,max,False,7e-05,1e-06,32,AdamW,0.0,L2,transformer_results_v4_mean.csv
"[896, 896]",32,2,1280,0.1,gelu,prenorm,learned,cls,True,2e-05,1e-06,24,AdamW,0.0,L2,transformer_results_v4_mean.csv
[1024],16,1,1024,0.0,silu,prenorm,sinusoidal,mean,False,2e-05,1e-06,24,AdamW,0.0,minmax,transformer_results_v4_mean.csv
"[512, 1024]",16,2,2048,0.1,prelu,postnorm,learned,mean,False,2e-05,1e-05,32,Adam,0.0,L2,transformer_results_v4_mean.csv
"[640, 640, 640, 640]",8,4,1024,0.25,gelu,postnorm,learned,mean,False,8e-05,5e-05,32,SGD,0.9,L2,transformer_results_v4_mean.csv
