id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20251225_034542,gaitgl_GREW+gaitgl_OUMVLP_mean.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12759,1.8237,0.47727,0.39394,"[0.57143, 0.18182, 0.42857]",56,0.12093,1.82831,0.52273,0.48468,"[0.52632, 0.36364, 0.5641]",55,COMPLETED,14.598
2,20251225_034542,gaitgl_GREW_BNNeck+gaitgl_GREW_mean.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12503,1.31228,0.5,0.36825,"[0.57143, 0.0, 0.53333]",50,0.20977,1.28091,0.5,0.45425,"[0.52941, 0.22222, 0.61111]",32,COMPLETED,12.992
3,20251225_034542,gaitgl_GREW_BNNeck+gaitgl_OUMVLP_mean.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14893,2.46179,0.45455,0.36912,"[0.6087, 0.15385, 0.34483]",370,0.17394,2.02135,0.56818,0.48231,"[0.58824, 0.25, 0.6087]",254,COMPLETED,91.575
4,20251225_034542,gaitset+gaitset_GREW_mean.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14132,2.83683,0.38636,0.37726,"[0.46512, 0.4, 0.26667]",794,0.18574,2.4437,0.47727,0.47348,"[0.54545, 0.5, 0.375]",683,COMPLETED,186.373
5,20251225_034542,gaitset+gaitset_OUMVLP_mean.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.29757,3.27974,0.38636,0.35981,"[0.41176, 0.21053, 0.45714]",779,0.61738,1.90662,0.5,0.493,"[0.54054, 0.4, 0.53846]",244,STOPPED,183.153
6,20251225_034542,gaitset_GREW+gaitset_OUMVLP_mean.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12811,2.9545,0.34091,0.32916,"[0.36842, 0.28571, 0.33333]",705,0.56623,2.18388,0.5,0.46878,"[0.57778, 0.4, 0.42857]",457,COMPLETED,165.547
7,20251225_034542,gaitgl_GREW+gaitgl_OUMVLP_mean.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12484,2.86124,0.47727,0.38726,"[0.65217, 0.125, 0.38462]",1309,0.68676,2.75416,0.5,0.47345,"[0.60606, 0.3, 0.51429]",1225,COMPLETED,280.205
8,20251225_034542,gaitgl_GREW_BNNeck+gaitgl_GREW_mean.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14967,2.28088,0.43182,0.37033,"[0.5, 0.15385, 0.45714]",676,0.19806,1.82934,0.52273,0.44003,"[0.59091, 0.16667, 0.5625]",551,COMPLETED,144.484
9,20251225_034542,gaitgl_GREW_BNNeck+gaitgl_OUMVLP_mean.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10995,1.10518,0.15909,0.0915,"[0.0, 0.27451, 0.0]",226,1.10995,1.10518,0.15909,0.0915,"[0.0, 0.27451, 0.0]",226,STOPPED,48.338
10,20251225_034542,gaitset+gaitset_GREW_mean.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.15549,2.73264,0.40909,0.3803,"[0.45, 0.26667, 0.42424]",1173,0.43839,1.88478,0.5,0.4596,"[0.54545, 0.33333, 0.5]",760,STOPPED,254.329
11,20251225_034542,gaitset+gaitset_OUMVLP_mean.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10658,1.09355,0.36364,0.17778,"[0.0, 0.0, 0.53333]",212,1.10658,1.09355,0.36364,0.17778,"[0.0, 0.0, 0.53333]",212,STOPPED,51.64
12,20251225_034542,gaitset_GREW+gaitset_OUMVLP_mean.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10643,1.10023,0.36364,0.17778,"[0.0, 0.0, 0.53333]",189,1.10643,1.10023,0.36364,0.17778,"[0.0, 0.0, 0.53333]",189,STOPPED,46.009
13,20251225_034542,gaitgl_GREW+gaitgl_OUMVLP_mean.csv,Preset_3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,7e-05,1e-06,48,AdamW,0.0,nan,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11797,1.80991,0.38636,0.31677,"[0.51282, 0.0, 0.4375]",78,0.12993,2.17188,0.52273,0.38889,"[0.48485, 0.0, 0.68182]",67,COMPLETED,22.668
14,20251225_034542,gaitgl_GREW_BNNeck+gaitgl_GREW_mean.csv,Preset_3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,7e-05,1e-06,48,AdamW,0.0,nan,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10809,1.7494,0.47727,0.35002,"[0.56522, 0.0, 0.48485]",92,0.35575,2.31286,0.47727,0.43696,"[0.65, 0.4, 0.26087]",53,COMPLETED,26.64
15,20251225_034542,gaitgl_GREW_BNNeck+gaitgl_OUMVLP_mean.csv,Preset_3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,7e-05,1e-06,48,AdamW,0.0,nan,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12715,1.89628,0.45455,0.39206,"[0.5, 0.2, 0.47619]",361,0.14808,1.75262,0.54545,0.46217,"[0.62222, 0.25, 0.51429]",342,COMPLETED,104.517
16,20251225_034542,gaitset+gaitset_GREW_mean.csv,Preset_3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,7e-05,1e-06,48,AdamW,0.0,nan,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11599,2.63601,0.40909,0.29321,"[0.58333, 0.0, 0.2963]",1115,0.22372,2.65612,0.52273,0.47375,"[0.5641, 0.28571, 0.57143]",969,COMPLETED,315.015
17,20251225_034542,gaitset+gaitset_OUMVLP_mean.csv,Preset_3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,7e-05,1e-06,48,AdamW,0.0,nan,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.17445,3.21374,0.34091,0.29894,"[0.42857, 0.11111, 0.35714]",926,0.73809,1.41108,0.45455,0.46182,"[0.47368, 0.5, 0.41176]",153,STOPPED,261.282
18,20251225_034542,gaitset_GREW+gaitset_OUMVLP_mean.csv,Preset_3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,7e-05,1e-06,48,AdamW,0.0,nan,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13715,2.98704,0.38636,0.3571,"[0.47368, 0.21053, 0.3871]",1008,0.11405,2.20037,0.54545,0.46667,"[0.66667, 0.33333, 0.4]",991,COMPLETED,284.824
19,20251225_034542,gaitgl_GREW+gaitgl_OUMVLP_mean.csv,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,0.0,nan,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12091,1.59284,0.45455,0.28974,"[0.59649, 0.0, 0.27273]",29,0.27922,1.11158,0.56818,0.53153,"[0.64706, 0.35294, 0.59459]",19,COMPLETED,10.133
20,20251225_034542,gaitgl_GREW_BNNeck+gaitgl_GREW_mean.csv,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,0.0,nan,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11517,1.03326,0.56818,0.47756,"[0.62222, 0.22222, 0.58824]",27,0.23,0.97975,0.59091,0.49349,"[0.65217, 0.22222, 0.60606]",18,COMPLETED,9.321
21,20251225_034542,gaitgl_GREW_BNNeck+gaitgl_OUMVLP_mean.csv,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,0.0,nan,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14876,1.52939,0.5,0.37938,"[0.69231, 0.23529, 0.21053]",114,0.63071,1.12314,0.5,0.47685,"[0.5, 0.375, 0.55556]",53,COMPLETED,39.427
22,20251225_034542,gaitset+gaitset_GREW_mean.csv,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,0.0,nan,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14343,3.49671,0.36364,0.36758,"[0.39024, 0.4, 0.3125]",1102,0.48268,2.08197,0.5,0.47985,"[0.59091, 0.46154, 0.3871]",603,COMPLETED,377.628
23,20251225_034542,gaitset+gaitset_OUMVLP_mean.csv,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,0.0,nan,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14963,2.06796,0.40909,0.37686,"[0.52632, 0.19048, 0.41379]",421,0.16116,1.84646,0.59091,0.49004,"[0.72727, 0.14286, 0.6]",413,COMPLETED,144.175
24,20251225_034542,gaitset_GREW+gaitset_OUMVLP_mean.csv,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,0.0,nan,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13446,2.23754,0.45455,0.37788,"[0.55319, 0.16667, 0.41379]",497,0.28893,1.85432,0.5,0.49129,"[0.5, 0.44444, 0.52941]",376,COMPLETED,170.327
25,20251225_034542,gaitgl_GREW+gaitgl_OUMVLP_mean.csv,Preset_5,Transformer,42,"[256, 384, 512, 640]",8,4,768,0.15,silu,postnorm,learned,mean,False,5e-05,1e-06,64,AdamW,0.0,nan,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11916,2.13225,0.45455,0.39048,"[0.57143, 0.26667, 0.33333]",162,0.13803,1.99185,0.52273,0.46463,"[0.6087, 0.26667, 0.51852]",159,COMPLETED,51.485
26,20251225_034542,gaitgl_GREW_BNNeck+gaitgl_GREW_mean.csv,Preset_5,Transformer,42,"[256, 384, 512, 640]",8,4,768,0.15,silu,postnorm,learned,mean,False,5e-05,1e-06,64,AdamW,0.0,nan,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13274,2.11082,0.43182,0.38457,"[0.53333, 0.25, 0.37037]",149,0.40432,1.78072,0.52273,0.48434,"[0.63636, 0.4, 0.41667]",78,COMPLETED,47.276
27,20251225_034542,gaitgl_GREW_BNNeck+gaitgl_OUMVLP_mean.csv,Preset_5,Transformer,42,"[256, 384, 512, 640]",8,4,768,0.15,silu,postnorm,learned,mean,False,5e-05,1e-06,64,AdamW,0.0,nan,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14649,2.28276,0.40909,0.37837,"[0.51163, 0.31579, 0.30769]",622,0.133,1.98281,0.52273,0.48747,"[0.60465, 0.375, 0.48276]",565,COMPLETED,196.954
28,20251225_034542,gaitset+gaitset_GREW_mean.csv,Preset_5,Transformer,42,"[256, 384, 512, 640]",8,4,768,0.15,silu,postnorm,learned,mean,False,5e-05,1e-06,64,AdamW,0.0,nan,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13089,2.69291,0.43182,0.36395,"[0.57143, 0.13333, 0.3871]",1683,0.48693,1.87324,0.54545,0.51162,"[0.65, 0.4, 0.48485]",1191,COMPLETED,513.804
29,20251225_034542,gaitset+gaitset_OUMVLP_mean.csv,Preset_5,Transformer,42,"[256, 384, 512, 640]",8,4,768,0.15,silu,postnorm,learned,mean,False,5e-05,1e-06,64,AdamW,0.0,nan,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13582,2.95602,0.38636,0.35948,"[0.44444, 0.22222, 0.41176]",1561,0.14112,2.77296,0.47727,0.4573,"[0.52632, 0.375, 0.47059]",1531,COMPLETED,477.12
30,20251225_034542,gaitset_GREW+gaitset_OUMVLP_mean.csv,Preset_5,Transformer,42,"[256, 384, 512, 640]",8,4,768,0.15,silu,postnorm,learned,mean,False,5e-05,1e-06,64,AdamW,0.0,nan,256,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.19966,3.29411,0.38636,0.30199,"[0.44444, 0.0, 0.46154]",1649,0.64822,1.87835,0.54545,0.43287,"[0.69091, 0.30769, 0.3]",585,STOPPED,503.609
31,20251225_034542,gaitgl_GREW+gaitgl_OUMVLP_mean.csv,Preset_6,Transformer,42,"[512, 512, 384]",8,3,768,0.1,mish,postnorm,sinusoidal,cls,True,2e-05,1e-06,32,Adam,0.0,nan,256,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13296,2.53514,0.43182,0.37054,"[0.51163, 0.2, 0.4]",75,0.19205,2.67322,0.47727,0.46906,"[0.53659, 0.47059, 0.4]",58,COMPLETED,25.412
